# Interpolated tables after MSCG-FM

MG_T1
N 251 R 0.000010 25.000000

1    0.0000 376583.07907 1458160.25507
2    0.1000 255683.48169 990037.44988
3    0.2000 173598.56710 672173.46764
4    0.3000 117865.41635 456363.97149
5    0.4000 80027.00127 309843.00259
6    0.5000 54336.69667 210364.55146
7    0.6000 36894.65182 142824.98909
8    0.7000 25052.48530 96969.90679
9    0.8000 17012.34170 65837.21223
10    0.9000 11553.50877 44700.08682
11    1.0000 7847.23009 30349.31722
12    1.1000 5330.82186 20606.05503
13    1.2000 3622.26116 13990.99808
14    1.3000 2462.17748 9499.79174
15    1.4000 1674.47502 6450.54986
16    1.5000 1139.59565 4380.30650
17    1.6000  776.36740 2974.74105
18    1.7000  529.67912 2020.45566
19    1.8000  362.11415 1372.55099
20    1.9000  248.26918  932.66725
21    2.0000  170.89612  634.01786
22    2.1000  118.28568  431.24387
23    2.2000   82.48748  293.58436
24    2.3000   58.10300  200.11821
25    2.4000   41.46895  136.65099
26    2.5000   30.09594   93.58293
27    2.6000   22.29472   64.31943
28    2.7000   16.92021   44.45737
29    2.8000   13.19062   30.99612
30    2.9000   10.57981   21.80793
31    3.0000    8.72917   15.61666
32    3.1000    7.39073   11.40635
33    3.2000    6.40573    8.49016
34    3.3000    5.65690    6.61711
35    3.4000    5.06641    5.25094
36    3.5000    4.59237    4.32465
37    3.6000    4.18532    3.83283
38    3.7000    3.83082    3.26693
39    3.8000    3.51797    3.07032
40    3.9000    3.21284    2.96355
41    4.0000    2.93900    2.56989
42    4.1000    2.67204    2.80249
43    4.2000    2.39802    2.59421
44    4.3000    2.15287    2.33137
45    4.4000    1.93161    2.09109
46    4.5000    1.73357    1.87589
47    4.6000    1.55588    1.67984
48    4.7000    1.39700    1.50110
49    4.8000    1.25506    1.34078
50    4.9000    1.12818    1.20032
51    5.0000    1.01432    1.08007
52    5.1000    0.91152    0.97904
53    5.2000    0.81794    0.89525
54    5.3000    0.73198    0.82619
55    5.4000    0.65230    0.76925
56    5.5000    0.57781    0.72201
57    5.6000    0.50764    0.68236
58    5.7000    0.44114    0.64859
59    5.8000    0.37778    0.61933
60    5.9000    0.31716    0.59348
61    6.0000    0.25899    0.57023
62    6.1000    0.20305    0.54891
63    6.2000    0.14916    0.52901
64    6.3000    0.09721    0.51011
65    6.4000    0.04712    0.49185
66    6.5000   -0.00117    0.47397
67    6.6000   -0.04768    0.45620
68    6.7000   -0.09241    0.43835
69    6.8000   -0.13534    0.42028
70    6.9000   -0.17645    0.40184
71    7.0000   -0.21569    0.38296
72    7.1000   -0.25302    0.36359
73    7.2000   -0.28839    0.34370
74    7.3000   -0.32175    0.32331
75    7.4000   -0.35304    0.30246
76    7.5000   -0.38222    0.28120
77    7.6000   -0.40927    0.25962
78    7.7000   -0.43414    0.23780
79    7.8000   -0.45682    0.21586
80    7.9000   -0.47731    0.19390
81    8.0000   -0.49561    0.17205
82    8.1000   -0.51173    0.15040
83    8.2000   -0.52570    0.12908
84    8.3000   -0.53756    0.10820
