# Interpolated tables after MSCG-FM

T1_T2
N 251 R 0.000010 25.000000

1    0.0000 543378.47866 2104010.57618
2    0.1000 368929.87535 1428546.03205
3    0.2000 250487.81930 969893.20136
4    0.3000 170069.29457 658497.00066
5    0.4000 115471.47189 447078.71820
6    0.5000 78402.42115 303539.10480
7    0.6000 53234.96324 206084.80556
8    0.7000 36147.69118 139919.51361
9    0.8000 24546.44036 94997.47381
10    0.9000 16669.81874 64498.25659
11    1.0000 11321.99561 43791.22111
12    1.1000 7691.06230 29732.45612
13    1.2000 5225.78981 20187.44671
14    1.3000 3551.92658 13706.98938
15    1.4000 2415.38035 9307.16984
16    1.5000 1643.63812 6319.97227
17    1.6000 1119.57478 4291.85243
18    1.7000  763.66974 2914.88952
19    1.8000  521.93336 1980.01876
20    1.9000  357.71050 1345.29833
21    2.0000  246.11425  914.36782
22    2.1000  170.24804  621.78946
23    2.2000  118.64065  423.14725
24    2.3000   83.50295  288.28754
25    2.4000   59.54742  196.71675
26    2.5000   43.18413  134.55361
27    2.6000   31.97463   92.35013
28    2.7000   24.26529   63.68314
29    2.8000   18.93181   44.24074
30    2.9000   15.21071   31.02577
31    3.0000   12.58623   22.04808
32    3.1000   10.70408   15.98395
33    3.2000    9.32679   11.82268
34    3.3000    8.29407    9.02561
35    3.4000    7.49098    7.14425
36    3.5000    6.84844    5.79577
37    3.6000    6.31326    4.97367
38    3.7000    5.84742    4.36346
39    3.8000    5.43554    3.89895
40    3.9000    5.06348    3.56013
41    4.0000    4.72044    3.31276
42    4.1000    4.39925    3.11633
43    4.2000    4.09660    2.93754
44    4.3000    3.81185    2.75602
45    4.4000    3.54576    2.56380
46    4.5000    3.29942    2.36174
47    4.6000    3.07355    2.15560
48    4.7000    2.86819    1.95277
49    4.8000    2.68265    1.76023
50    4.9000    2.51562    1.58339
51    5.0000    2.36533    1.42569
52    5.1000    2.22979    1.28873
53    5.2000    2.10689    1.17255
54    5.3000    1.99462    1.07600
55    5.4000    1.89110    0.99721
56    5.5000    1.79467    0.93386
57    5.6000    1.70390    0.88350
58    5.7000    1.61761    0.84372
59    5.8000    1.53487    0.81228
60    5.9000    1.45495    0.78719
61    6.0000    1.37728    0.76674
62    6.1000    1.30149    0.74951
63    6.2000    1.22731    0.73435
64    6.3000    1.15458    0.72036
65    6.4000    1.08322    0.70685
66    6.5000    1.01321    0.69331
67    6.6000    0.94457    0.67939
68    6.7000    0.87735    0.66488
69    6.8000    0.81162    0.64962
70    6.9000    0.74746    0.63356
71    7.0000    0.68494    0.61669
72    7.1000    0.62414    0.59905
73    7.2000    0.56515    0.58070
74    7.3000    0.50803    0.56172
75    7.4000    0.45283    0.54219
76    7.5000    0.39960    0.52222
77    7.6000    0.34839    0.50189
78    7.7000    0.29923    0.48131
79    7.8000    0.25214    0.46055
80    7.9000    0.20712    0.43972
81    8.0000    0.16420    0.41887
82    8.1000    0.12335    0.39810
83    8.2000    0.08457    0.37747
84    8.3000    0.04785    0.35703
85    8.4000    0.01316    0.33684
86    8.5000   -0.01953    0.31695
87    8.6000   -0.05024    0.29741
88    8.7000   -0.07902    0.27825
89    8.8000   -0.10591    0.25951
90    8.9000   -0.13094    0.24123
91    9.0000   -0.15417    0.22342
92    9.1000   -0.17564    0.20611
93    9.2000   -0.19541    0.18931
94    9.3000   -0.21352    0.17306
95    9.4000   -0.23004    0.15736
96    9.5000   -0.24501    0.14221
97    9.6000   -0.25850    0.12764
98    9.7000   -0.27056    0.11364
99    9.8000   -0.28125    0.10022
100    9.9000   -0.29062    0.08738
101   10.0000   -0.29874    0.07513
102   10.1000   -0.30567    0.06345
103   10.2000   -0.31145    0.05235
104   10.3000   -0.31616    0.04182
105   10.4000   -0.31984    0.03186
106   10.5000   -0.32255    0.02245
107   10.6000   -0.32434    0.01359
108   10.7000   -0.32528    0.00527
109   10.8000   -0.32541   -0.00253
110   10.9000   -0.32479   -0.00981
111   11.0000   -0.32347   -0.01658
112   11.1000   -0.32149   -0.02287
113   11.2000   -0.31891   -0.02868
114   11.3000   -0.31577   -0.03403
115   11.4000   -0.31212   -0.03894
116   11.5000   -0.30800   -0.04341
117   11.6000   -0.30345   -0.04747
118   11.7000   -0.29852   -0.05114
119   11.8000   -0.29324   -0.05441
120   11.9000   -0.28765   -0.05733
121   12.0000   -0.28178   -0.05989
122   12.1000   -0.27568   -0.06212
123   12.2000   -0.26937   -0.06403
124   12.3000   -0.26289   -0.06564
125   12.4000   -0.25625   -0.06696
126   12.5000   -0.24950   -0.06801
127   12.6000   -0.24266   -0.06880
128   12.7000   -0.23575   -0.06936
129   12.8000   -0.22880   -0.06969
130   12.9000   -0.22182   -0.06981
131   13.0000   -0.21484   -0.06973
132   13.1000   -0.20788   -0.06947
133   13.2000   -0.20095   -0.06903
134   13.3000   -0.19408   -0.06845
135   13.4000   -0.18727   -0.06771
136   13.5000   -0.18054   -0.06685
137   13.6000   -0.17390   -0.06586
138   13.7000   -0.16737   -0.06477
139   13.8000   -0.16095   -0.06358
140   13.9000   -0.15466   -0.06230
141   14.0000   -0.14850   -0.06094
142   14.1000   -0.14247   -0.05951
143   14.2000   -0.13660   -0.05803
144   14.3000   -0.13087   -0.05649
145   14.4000   -0.12530   -0.05491
146   14.5000   -0.11989   -0.05329
147   14.6000   -0.11464   -0.05165
148   14.7000   -0.10956   -0.04999
149   14.8000   -0.10464   -0.04831
150   14.9000   -0.09990   -0.04662
151   15.0000   -0.09532   -0.04493
152   15.1000   -0.09091   -0.04325
153   15.2000   -0.08667   -0.04157
154   15.3000   -0.08260   -0.03991
155   15.4000   -0.07869   -0.03826
156   15.5000   -0.07494   -0.03663
