# Interpolated tables after MSCG-FM

HG_HG
N 251 R 0.000010 25.000000

1    0.0000 10065643022865.22070 53724836020052.07812
2    0.1000 4823835234424.95508 44130157103140.05469
3    0.2000 2314580212964.78809 22102560735344.64062
4    0.3000 1109610123466.67261 4256011453321.18457
5    0.4000 532298109823.54810 4031615654128.16602
6    0.5000 255225301489.88501 1933484134429.86157
7    0.6000 122420755001.02371 927261231924.53638
8    0.7000 58703490461.71228 444696378377.44470
9    0.8000 28155617790.86547 213267698609.65784
10    0.9000 13501955733.89793 102279023355.96376
11    1.0000 6475609876.21766 49051022198.78500
12    1.1000 3105454778.53833 23523912331.55042
13    1.2000 1489359284.90606 11281608957.27850
14    1.3000 714251798.12113 5410439338.75016
15    1.4000 342546937.94369 2594741047.29376
16    1.5000 164276757.72245 1244387134.58414
17    1.6000 78784674.86448 596783769.08457
18    1.7000 37783324.50074 286205841.78824
19    1.8000 18120244.93429 137258733.44112
20    1.9000 8690083.14712 65826608.82814
21    2.0000 4167609.55959 31569156.87255
22    2.1000 1998702.15842 15139952.15070
23    2.2000 958542.69961 7260826.06727
24    2.3000 459700.15596 3482151.34528
25    2.4000 220465.79426 1669972.69212
26    2.5000 105733.24409 800886.98599
27    2.6000 50709.78287 384090.82263
28    2.7000 24321.50949 184203.19955
29    2.8000 11666.08431 88341.09196
30    2.9000 5596.74503 42367.69636
31    3.0000 2685.90887 20319.36225
32    3.1000 1289.81496 9745.78329
33    3.2000  620.24459 4674.75971
34    3.3000  298.99148 2242.61803
35    3.4000  144.86048 1076.62109
36    3.5000   70.87928  517.00942
37    3.6000   35.25533  248.82723
38    3.7000   18.14526  120.36163
39    3.8000    9.82327   58.32606
40    3.9000    5.72666   29.04958
41    4.0000    3.73529   14.75111
42    4.1000    2.62539    7.78087
43    4.2000    2.04643    4.80709
44    4.3000    1.69348    3.16886
45    4.4000    1.38439    2.27119
46    4.5000    1.20471    1.62275
47    4.6000    1.09735    0.65892
48    4.7000    1.05197    0.25483
49    4.8000    1.04243    0.02062
50    4.9000    1.04487   -0.07625
51    5.0000    1.04935   -0.06790
52    5.1000    1.05538    0.03722
53    5.2000    1.04779    0.15513
54    5.3000    1.01821    0.30451
55    5.4000    0.98435    0.44788
56    5.5000    0.93833    0.52487
57    5.6000    0.87601    0.59015
58    5.7000    0.81879    0.60693
59    5.8000    0.76158    0.55944
60    5.9000    0.70522    0.52214
61    6.0000    0.65565    0.47514
62    6.1000    0.61149    0.43087
63    6.2000    0.57018    0.40248
64    6.3000    0.52862    0.38733
65    6.4000    0.49261    0.37798
66    6.5000    0.45683    0.33353
67    6.6000    0.42322    0.27793
68    6.7000    0.40096    0.21373
69    6.8000    0.38368    0.14776
70    6.9000    0.36953    0.10373
71    7.0000    0.36154    0.05663
72    7.1000    0.35907    0.01581
73    7.2000    0.35886   -0.01000
74    7.3000    0.35967   -0.03023
75    7.4000    0.36389   -0.03869
76    7.5000    0.36858   -0.03894
77    7.6000    0.36986   -0.00509
78    7.7000    0.36889    0.04587
79    7.8000    0.36248    0.08202
80    7.9000    0.35151    0.10429
81    8.0000    0.34167    0.10995
82    8.1000    0.33127    0.10588
83    8.2000    0.32007    0.10690
84    8.3000    0.30929    0.10431
85    8.4000    0.29946    0.10308
86    8.5000    0.28940    0.10264
87    8.6000    0.27854    0.09466
88    8.7000    0.26937    0.09544
89    8.8000    0.26128    0.08796
90    8.9000    0.25104    0.08805
91    9.0000    0.24222    0.09656
92    9.1000    0.23366    0.09709
93    9.2000    0.22217    0.10111
94    9.3000    0.21207    0.11336
95    9.4000    0.20136    0.11429
96    9.5000    0.18860    0.12016
97    9.6000    0.17606    0.13497
98    9.7000    0.16333    0.14123
99    9.8000    0.14822    0.13687
100    9.9000    0.13450    0.12415
101   10.0000    0.12447    0.10511
102   10.1000    0.11428    0.08970
103   10.2000    0.10440    0.09987
104   10.3000    0.09588    0.09375
105   10.4000    0.08579    0.07774
106   10.5000    0.07830    0.07304
107   10.6000    0.07301    0.07134
108   10.7000    0.06449    0.07144
109   10.8000    0.05702    0.06546
110   10.9000    0.05209    0.04623
111   11.0000    0.04863    0.03510
112   11.1000    0.04491    0.02565
113   11.2000    0.04222    0.01805
114   11.3000    0.04189    0.01304
