# Interpolated tables after MSCG-FM

HG_MG
N 251 R 0.000010 25.000000

1    0.0000 53724358512773.50000 286750915448354.31250
2    0.1000 25746735996092.67578 235540280541424.12500
3    0.2000 12353839380670.56445 117970197661416.42188
4    0.3000 5922432570559.75977 22716033603949.85547
5    0.4000 2841087690332.01953 21518343566937.56250
6    0.5000 1362239408583.18848 10319777343672.75781
7    0.6000 653408482284.21362 4949163679430.40430
8    0.7000 313323983382.22137 2373522248599.51758
9    0.8000 150277781620.60028 1138294917990.70337
10    0.9000 72065332393.18498 545904012945.02606
11    1.0000 34562917194.45582 261804903667.99579
12    1.1000 16575052902.54298 125556519020.82918
13    1.2000 7949305547.32880 60214454534.40844
14    1.3000 3812247198.92536 28877676469.82055
15    1.4000 1828309847.10965 13849169684.80322
16    1.5000 876810668.70486 6641791322.11794
17    1.6000 420505264.89063 3185273411.92005
18    1.7000 201664676.74222 1527594924.38348
19    1.8000 96714965.47741 732604694.67331
20    1.9000 46382424.74359 351342905.63421
21    2.0000 22244177.07588 168497197.39851
22    2.1000 10667852.27353 80807966.52914
23    2.2000 5116106.26719 38753923.72145
24    2.3000 2453585.10227 18585626.29079
25    2.4000 1176696.21740 8913304.54173
26    2.5000 564323.51639 4274647.93135
27    2.6000 270642.00424 2050038.96884
28    2.7000 129797.75949 983159.70807
29    2.8000 62251.54450 471505.44817
30    2.9000 29857.58869 226126.02065
31    3.0000 14321.94251 108446.68633
32    3.1000 6871.23459 52010.24006
33    3.2000 3297.92427 24944.19090
34    3.3000 1584.07828 11963.90951
35    3.4000  762.06674 5738.96214
36    3.5000  367.71682 2753.31863
37    3.6000  178.45697 1321.72892
38    3.7000   87.61282  635.06423
39    3.8000   43.88884  305.62654
40    3.9000   22.81727  147.92872
41    4.0000   12.61013   71.99695
42    4.1000    7.55540   35.72325
43    4.2000    5.05660   18.43332
44    4.3000    3.71834    9.83651
45    4.4000    2.94460    6.05401
46    4.5000    2.49792    4.05428
47    4.6000    2.11624    3.01518
48    4.7000    1.84352    2.77734
49    4.8000    1.60205    2.53069
50    4.9000    1.33021    2.29180
51    5.0000    1.11949    2.02958
52    5.1000    0.95364    1.46433
53    5.2000    0.82164    1.17922
54    5.3000    0.71050    0.91161
55    5.4000    0.63368    0.71905
56    5.5000    0.57235    0.57099
57    5.6000    0.51422    0.53024
58    5.7000    0.46387    0.48129
59    5.8000    0.41902    0.42309
60    5.9000    0.37877    0.39986
61    6.0000    0.33997    0.37794
62    6.1000    0.30095    0.36340
63    6.2000    0.26760    0.35464
64    6.3000    0.23391    0.30684
65    6.4000    0.20307    0.24918
66    6.5000    0.18329    0.19777
67    6.6000    0.16775    0.14694
68    6.7000    0.15186    0.11009
69    6.8000    0.14313    0.06352
70    6.9000    0.14130    0.01990
71    7.0000    0.13952    0.00451
72    7.1000    0.13837   -0.00154
73    7.2000    0.13923   -0.00802
74    7.3000    0.14162   -0.01298
75    7.4000    0.14222   -0.02809
76    7.5000    0.14464   -0.03810
77    7.6000    0.15086   -0.03664
78    7.7000    0.15340   -0.02292
79    7.8000    0.15299    0.00172
80    7.9000    0.15324    0.01063
81    8.0000    0.15203    0.02084
82    8.1000    0.14868    0.04090
83    8.2000    0.14372    0.04943
84    8.3000    0.13798    0.06649
85    8.4000    0.13168    0.08498
86    8.5000    0.12163    0.09167
87    8.6000    0.11193    0.08401
88    8.7000    0.10531    0.07514
89    8.8000    0.09828    0.07157
90    8.9000    0.08983    0.07878
91    9.0000    0.08200    0.07772
92    9.1000    0.07542    0.06918
93    9.2000    0.06818    0.06062
94    9.3000    0.06263    0.05238
95    9.4000    0.05818    0.04291
96    9.5000    0.05428    0.03410
97    9.6000    0.05082    0.02887
98    9.7000    0.04853    0.02137
99    9.8000    0.04675    0.01780
100    9.9000    0.04448    0.02191
101   10.0000    0.04251    0.02821
102   10.1000    0.03937    0.02301
103   10.2000    0.03676    0.02355
104   10.3000    0.03534    0.02643
105   10.4000    0.03244    0.02356
106   10.5000    0.02924    0.01926
107   10.6000    0.02855    0.01531
108   10.7000    0.02777    0.00853
109   10.8000    0.02548    0.01156
110   10.9000    0.02469    0.01993
111   11.0000    0.02338    0.01969
112   11.1000    0.02003    0.01955
113   11.2000    0.01876    0.01204
114   11.3000    0.01859    0.00174
115   11.4000    0.01795    0.00975
116   11.5000    0.01671    0.01862
117   11.6000    0.01443    0.01325
118   11.7000    0.01343    0.00662
119   11.8000    0.01362    0.00505
120   11.9000    0.01293    0.00601
121   12.0000    0.01138    0.00929
122   12.1000    0.01088    0.01325
123   12.2000    0.00995    0.01463
124   12.3000    0.00751    0.01392
125   12.4000    0.00655    0.00891
126   12.5000    0.00672   -0.00189
127   12.6000    0.00666   -0.00507
128   12.7000    0.00689    0.00169
129   12.8000    0.00683    0.00993
130   12.9000    0.00522    0.01490
131   13.0000    0.00336    0.01260
132   13.1000    0.00290    0.00456
133   13.2000    0.00290   -0.00088
134   13.3000    0.00273    0.00054
135   13.4000    0.00268    0.00027
136   13.5000    0.00266   -0.00056
137   13.6000    0.00271    0.00278
138   13.7000    0.00237    0.00548
139   13.8000    0.00150    0.00517
140   13.9000    0.00119    0.00242
141   14.0000    0.00132   -0.00101
142   14.1000    0.00132   -0.00081
143   14.2000    0.00134    0.00051
144   14.3000    0.00136   -0.00168
145   14.4000    0.00147   -0.00233
146   14.5000    0.00180    0.00063
147   14.6000    0.00162    0.00372
148   14.7000    0.00087    0.00471
149   14.8000    0.00059    0.00237
150   14.9000    0.00065   -0.00024
151   15.0000    0.00066   -0.00045
152   15.1000    0.00063   -0.00128
153   15.2000    0.00081   -0.00272
154   15.3000    0.00125   -0.00256
155   15.4000    0.00139   -0.00114
156   15.5000    0.00133    0.00041
157   15.6000    0.00134    0.00027
158   15.7000    0.00136   -0.00033
159   15.8000    0.00137   -0.00003
160   15.9000    0.00137    0.00008
161   16.0000    0.00136   -0.00010
162   16.1000    0.00138   -0.00032
163   16.2000    0.00143   -0.00034
164   16.3000    0.00146   -0.00021
165   16.4000    0.00146   -0.00003
166   16.5000    0.00146    0.00003
167   16.6000    0.00146    0.00002
168   16.7000    0.00146   -0.00004
169   16.8000    0.00146   -0.00021
170   16.9000    0.00149   -0.00035
171   17.0000    0.00154   -0.00030
172   17.1000    0.00156   -0.00009
173   17.2000    0.00155    0.00008
174   17.3000    0.00154    0.00010
175   17.4000    0.00154    0.00004
176   17.5000    0.00153    0.00001
177   17.6000    0.00153   -0.00001
178   17.7000    0.00154   -0.00005
179   17.8000    0.00154   -0.00008
180   17.9000    0.00155   -0.00008
181   18.0000    0.00156   -0.00004
182   18.1000    0.00156   -0.00003
183   18.2000    0.00156   -0.00008
184   18.3000    0.00157   -0.00012
185   18.4000    0.00159   -0.00012
186   18.5000    0.00160   -0.00003
187   18.6000    0.00159    0.00004
188   18.7000    0.00159   -0.00000
189   18.8000    0.00159   -0.00003
190   18.9000    0.00160   -0.00003
191   19.0000    0.00160   -0.00001
192   19.1000    0.00159    0.00011
193   19.2000    0.00159   -0.00004
194   19.3000    0.00157    0.00010
195   19.4000    0.00156    0.00093
196   19.5000    0.00145    0.00147
197   19.6000    0.00124    0.00141
