# Interpolated tables after MSCG-FM

HG_T1
N 251 R 0.000010 25.000000

1    0.0000 917637264301874.87500 4897840251095399.00000
2    0.1000 439766337620096.50000 4023138566048850.50000
3    0.2000 211009376132426.40625 2014986357174593.00000
4    0.3000 101157928591355.73438 388000517999008.62500
5    0.4000 48527111499497.76562 367543409911166.06250
6    0.5000 23267688601800.82422 176266641650096.12500
7    0.6000 11160523619889.64648 84534039029874.00000
8    0.7000 5351720725955.49805 40540874256228.93750
9    0.8000 2566815057819.55811 19442611571872.99219
10    0.9000 1230909708179.49707 9324296815741.66797
11    1.0000 590350851077.44934 4471750658940.99902
12    1.1000 283109684571.04163 2144564287355.42676
13    1.2000 135777870390.34399 1028491151089.95972
14    1.3000 65114971660.79057 493244270693.08728
15    1.4000 31228390336.12312 236550319673.57367
16    1.5000 14976337691.52938 113444913732.51227
17    1.6000 7182427185.25409 54405965164.63557
18    1.7000 3444527209.03447 26092038401.12892
19    1.8000 1651936875.62545 12513232067.20782
20    1.9000 792233454.93876 6001101729.43829
21    2.0000 379940857.16695 2878011194.65021
22    2.1000 182211798.47131 1380237964.95499
23    2.2000 87385374.37511 661935173.84988
24    2.3000 41908266.82880 317451183.04946
25    2.4000 20098408.69460 152243388.44027
26    2.5000 9638799.64601 73012956.43345
27    2.6000 4622585.09902 35015588.64492
28    2.7000 2216902.99846 16792792.98712
29    2.8000 1063186.04467 8053496.11509
30    2.9000 509885.42785 3862300.04690
31    3.0000 244533.36122 1852284.14457
32    3.1000 117275.57265 888319.90159
33    3.2000 56245.20654 426021.40596
34    3.3000 26976.15421 204312.04334
35    3.4000 12939.24759 97984.68351
36    3.5000 6207.37016 46992.01328
37    3.6000 2978.82271 22537.01303
38    3.7000 1430.44096 10808.89255
39    3.8000  687.80011 5184.19299
40    3.9000  331.58785 2486.85654
41    4.0000  160.71824 1193.15771
42    4.1000   78.69567  572.71980
43    4.2000   39.32127  275.29120
44    4.3000   20.38396  132.47620
45    4.4000   11.23124   64.11597
46    4.5000    6.81245   31.31929
47    4.6000    4.62001   15.47243
48    4.7000    3.51712    8.06047
49    4.8000    2.95030    4.35110
50    4.9000    2.59768    2.60522
51    5.0000    2.39733    1.86698
52    5.1000    2.24087    1.38554
53    5.2000    2.09845    1.19315
54    5.3000    1.99912    1.06771
55    5.4000    1.89739    0.91507
56    5.5000    1.80479    0.94043
57    5.6000    1.71720    0.79033
58    5.7000    1.64013    0.66026
59    5.8000    1.58520    0.61488
60    5.9000    1.52861    0.52337
61    6.0000    1.46950    0.42878
62    6.1000    1.43786    0.34393
63    6.2000    1.41320    0.27932
64    6.3000    1.37429    0.34062
65    6.4000    1.33934    0.40341
66    6.5000    1.30197    0.37329
67    6.6000    1.25938    0.40708
68    6.7000    1.22085    0.46015
69    6.8000    1.17295    0.46074
70    6.9000    1.12184    0.48315
71    7.0000    1.07845    0.48545
72    7.1000    1.02937    0.47645
73    7.2000    0.97718    0.51453
74    7.3000    0.92857    0.52201
75    7.4000    0.87615    0.49483
76    7.5000    0.82512    0.48782
77    7.6000    0.77992    0.48167
78    7.7000    0.73162    0.47776
79    7.8000    0.68114    0.48247
80    7.9000    0.63445    0.47657
81    8.0000    0.58838    0.47564
82    8.1000    0.53973    0.47043
83    8.2000    0.49250    0.44331
84    8.3000    0.45184    0.40069
85    8.4000    0.41415    0.36585
86    8.5000    0.37739    0.34382
87    8.6000    0.34443    0.31877
88    8.7000    0.31373    0.30771
89    8.8000    0.28375    0.30662
90    8.9000    0.25217    0.29409
91    9.0000    0.22332    0.27752
92    9.1000    0.19833    0.26247
93    9.2000    0.17225    0.23756
94    9.3000    0.14827    0.21421
95    9.4000    0.12976    0.18845
96    9.5000    0.11267    0.16495
97    9.6000    0.09443    0.16360
98    9.7000    0.07971    0.15875
99    9.8000    0.06480    0.13820
100    9.9000    0.05016    0.12680
101   10.0000    0.03938    0.11998
102   10.1000    0.02789    0.10802
103   10.2000    0.01636    0.10303
104   10.3000    0.00694    0.09293
105   10.4000   -0.00082    0.07562
106   10.5000   -0.00886    0.06762
107   10.6000   -0.01487    0.05888
108   10.7000   -0.01992    0.04837
109   10.8000   -0.02519    0.04735
110   10.9000   -0.02946    0.05154
111   11.0000   -0.03486    0.04828
112   11.1000   -0.03955    0.03929
113   11.2000   -0.04314    0.03445
114   11.3000   -0.04574    0.03420
115   11.4000   -0.05000    0.03790
116   11.5000   -0.05454    0.04560
117   11.6000   -0.05778    0.04227
118   11.7000   -0.06249    0.02688
119   11.8000   -0.06458    0.01506
120   11.9000   -0.06430   -0.00275
121   12.0000   -0.06445   -0.00446
122   12.1000   -0.06434    0.00828
123   12.2000   -0.06524    0.01284
124   12.3000   -0.06721    0.01385
125   12.4000   -0.06816    0.00868
126   12.5000   -0.06839    0.00108
127   12.6000   -0.06856   -0.00086
128   12.7000   -0.06854    0.00167
129   12.8000   -0.06851   -0.00032
130   12.9000   -0.06858   -0.00382
131   13.0000   -0.06785   -0.00945
132   13.1000   -0.06641   -0.01563
133   13.2000   -0.06489   -0.01889
134   13.3000   -0.06293   -0.01683
135   13.4000   -0.06113   -0.01705
136   13.5000   -0.05967   -0.01920
137   13.6000   -0.05770   -0.01856
138   13.7000   -0.05520   -0.02238
139   13.8000   -0.05343   -0.02556
140   13.9000   -0.05062   -0.02794
141   14.0000   -0.04716   -0.03217
142   14.1000   -0.04425   -0.03596
143   14.2000   -0.04064   -0.03579
144   14.3000   -0.03685   -0.03290
145   14.4000   -0.03378   -0.02520
146   14.5000   -0.03181   -0.02547
147   14.6000   -0.02925   -0.02939
148   14.7000   -0.02549   -0.03178
149   14.8000   -0.02255   -0.02929
150   14.9000   -0.02042   -0.02131
151   15.0000   -0.01798   -0.02016
152   15.1000   -0.01607   -0.02206
153   15.2000   -0.01382   -0.02453
154   15.3000   -0.01122   -0.02501
155   15.4000   -0.00871   -0.02207
156   15.5000   -0.00677   -0.01792
157   15.6000   -0.00542   -0.01574
158   15.7000   -0.00364   -0.01157
159   15.8000   -0.00241   -0.01269
160   15.9000   -0.00147   -0.01656
161   16.0000    0.00053   -0.02019
162   16.1000    0.00307   -0.02062
163   16.2000    0.00445   -0.01282
164   16.3000    0.00527   -0.00471
165   16.4000    0.00575   -0.00343
166   16.5000    0.00592   -0.00383
167   16.6000    0.00646   -0.00268
168   16.7000    0.00669   -0.00217
169   16.8000    0.00669   -0.00012
170   16.9000    0.00670    0.00087
171   17.0000    0.00671    0.00014
172   17.1000    0.00667   -0.00190
173   17.2000    0.00693   -0.00381
174   17.3000    0.00753   -0.00449
175   17.4000    0.00786   -0.00321
176   17.5000    0.00800   -0.00087
177   17.6000    0.00809   -0.00010
178   17.7000    0.00808   -0.00002
179   17.8000    0.00807    0.00027
180   17.9000    0.00806    0.00003
181   18.0000    0.00805    0.00001
182   18.1000    0.00806   -0.00008
183   18.2000    0.00807   -0.00017
184   18.3000    0.00808   -0.00017
185   18.4000    0.00810   -0.00009
186   18.5000    0.00811   -0.00001
187   18.6000    0.00810    0.00004
188   18.7000    0.00810    0.00003
189   18.8000    0.00810   -0.00005
190   18.9000    0.00810   -0.00009
191   19.0000    0.00812   -0.00012
192   19.1000    0.00813   -0.00006
193   19.2000    0.00813    0.00006
194   19.3000    0.00812    0.00010
195   19.4000    0.00811    0.00008
196   19.5000    0.00810    0.00005
197   19.6000    0.00810    0.00003
198   19.7000    0.00809    0.00013
199   19.8000    0.00809   -0.00014
200   19.9000    0.00808   -0.00029
201   20.0000    0.00808    0.00119
202   20.1000    0.00793    0.00352
203   20.2000    0.00745    0.00384
204   20.3000    0.00700    0.00288
205   20.4000    0.00691    0.00239
206   20.5000    0.00673    0.00253
207   20.6000    0.00625    0.00308
208   20.7000    0.00603    0.00230
209   20.8000    0.00597    0.00056
210   20.9000    0.00588    0.00015
211   21.0000    0.00586    0.00010
212   21.1000    0.00587    0.00026
213   21.2000    0.00585    0.00043
214   21.3000    0.00570    0.00123
215   21.4000    0.00555    0.00316
216   21.5000    0.00522    0.00467
217   21.6000    0.00461    0.00415
218   21.7000    0.00422    0.00348
219   21.8000    0.00405    0.00354
220   21.9000    0.00358    0.00513
221   22.0000    0.00284    0.00734
222   22.1000    0.00224    0.00658
223   22.2000    0.00164    0.00372
224   22.3000    0.00137    0.00131
225   22.4000    0.00143   -0.00028
226   22.5000    0.00143   -0.00023
227   22.6000    0.00141    0.00038
228   22.7000    0.00131    0.00039
229   22.8000    0.00129    0.00178
230   22.9000    0.00111    0.00271
231   23.0000    0.00069    0.00261
232   23.1000    0.00052    0.00142
233   23.2000    0.00054   -0.00014
234   23.3000    0.00052   -0.00021
235   23.4000    0.00051    0.00025
236   23.5000    0.00050    0.00012
237   23.6000    0.00050   -0.00023
238   23.7000    0.00050   -0.00020
239   23.8000    0.00053    0.00056
240   23.9000    0.00045    0.00126
241   24.0000    0.00024    0.00160
242   24.1000    0.00012    0.00124
243   24.2000    0.00006    0.00043
244   24.3000    0.00001    0.00014
245   24.4000    0.00001    0.00006
246   24.5000    0.00001   -0.00006
247   24.6000    0.00001    0.00001
248   24.7000    0.00001    0.00004
249   24.8000    0.00001    0.00003
250   24.9000    0.00000    0.00002
251   25.0000    0.00000    0.00002
