# Interpolated tables after MSCG-FM

MG_MG
N 251 R 0.000010 25.000000

1    0.0000 28629848892423.03125 152810300696225.96875
2    0.1000 13720501862598.30078 125520021581556.42188
3    0.2000 6583392794276.10156 62866621889063.28906
4    0.3000 3156079556178.28857 12105432759361.64844
5    0.4000 1514022940734.94385 11467180656798.83984
6    0.5000 725940886088.91992 5499435900803.81055
7    0.6000 348203061534.11011 2637422059721.84619
8    0.7000 166971156979.89697 1264856113714.17920
9    0.8000 80083416518.28987 606600290804.62329
10    0.9000 38403801072.34581 290913653193.75031
11    1.0000 18418667513.40065 139516506829.67191
12    1.1000 8832888346.60907 66909392063.39342
13    1.2000 4236205385.54880 32088437763.47343
14    1.3000 2031556346.28394 15388988098.52494
15    1.4000 974311026.41920 7380258162.20758
16    1.5000 467254665.78629 3539427686.99280
17    1.6000 224088341.83054 1697440398.52701
18    1.7000 107467629.19237 814059267.08063
19    1.8000 51539657.89186 390406927.97873
20    1.9000 24717317.30685 187231539.61938
21    2.0000 11853982.90957 89792591.17647
22    2.1000 5684929.51358 43062774.39209
23    2.2000 2726389.67453 20652066.82829
24    2.3000 1307525.18475 9904329.15984
25    2.4000 627067.69210 4749924.05485
26    2.5000 300732.60231 2277972.02153
27    2.6000 144228.85040 1092472.12058
28    2.7000 69172.47691 523929.49613
29    2.8000 33176.82159 251267.57094
30    2.9000 15913.87600 120504.23960
31    3.0000 7634.78615 57792.67980
32    3.1000 3664.17283 27717.46634
33    3.2000 1759.82633 13293.96354
34    3.3000  846.41369 6376.73253
35    3.4000  408.24024 3059.38324
36    3.5000  197.97945 1468.41906
37    3.6000   97.01849  705.44505
38    3.7000   48.48230  339.53549
39    3.8000   25.08086  164.03330
40    3.9000   13.73712   79.89636
41    4.0000    8.17820   39.52075
42    4.1000    5.38662   20.16287
43    4.2000    3.93021   10.89736
44    4.3000    3.10949    6.42124
45    4.4000    2.59221    4.29303
46    4.5000    2.22720    3.29832
47    4.6000    1.92726    2.79807
48    4.7000    1.66167    2.48113
49    4.8000    1.42957    2.15930
50    4.9000    1.23206    1.83721
51    5.0000    1.06369    1.54763
52    5.1000    0.91818    1.32822
53    5.2000    0.79537    1.18752
54    5.3000    0.68337    1.07655
55    5.4000    0.57648    0.98909
56    5.5000    0.48368    0.89785
57    5.6000    0.40024    0.79781
58    5.7000    0.32241    0.73576
59    5.8000    0.25324    0.65866
60    5.9000    0.19120    0.55828
61    6.0000    0.14012    0.47286
62    6.1000    0.09722    0.41048
63    6.2000    0.05688    0.39047
64    6.3000    0.01950    0.36677
65    6.4000   -0.01641    0.31237
66    6.5000   -0.04463    0.26399
67    6.6000   -0.06681    0.21821
68    6.7000   -0.08964    0.20332
69    6.8000   -0.10943    0.20967
70    6.9000   -0.12957    0.20075
71    7.0000   -0.15112    0.20386
72    7.1000   -0.17085    0.21548
73    7.2000   -0.19221    0.21454
74    7.3000   -0.21488    0.21779
75    7.4000   -0.23449    0.18203
76    7.5000   -0.25107    0.13135
77    7.6000   -0.26163    0.09386
78    7.7000   -0.26939    0.07801
79    7.8000   -0.27903    0.10549
80    7.9000   -0.28915    0.11986
81    8.0000   -0.30338    0.10942
82    8.1000   -0.31299    0.10689
83    8.2000   -0.32079    0.09172
84    8.3000   -0.33220    0.07585
85    8.4000   -0.33814    0.05499
86    8.5000   -0.34061    0.01288
87    8.6000   -0.34168    0.00112
88    8.7000   -0.34159    0.00047
89    8.8000   -0.34169    0.00055
90    8.9000   -0.34168    0.00198
91    9.0000   -0.34180   -0.00764
92    9.1000   -0.34104   -0.00913
93    9.2000   -0.33895   -0.01285
94    9.3000   -0.33832   -0.01785
95    9.4000   -0.33638   -0.02493
96    9.5000   -0.33220   -0.04321
97    9.6000   -0.32765   -0.06344
98    9.7000   -0.32087   -0.06818
99    9.8000   -0.31343   -0.06448
100    9.9000   -0.30760   -0.05562
101   10.0000   -0.30283   -0.05858
102   10.1000   -0.29622   -0.07164
103   10.2000   -0.28810   -0.07275
104   10.3000   -0.28083   -0.06861
105   10.4000   -0.27475   -0.07576
106   10.5000   -0.26610   -0.10522
107   10.6000   -0.25435   -0.11224
108   10.7000   -0.24269   -0.09492
109   10.8000   -0.23583   -0.06374
110   10.9000   -0.23063   -0.05589
111   11.0000   -0.22349   -0.07971
112   11.1000   -0.21534   -0.08834
113   11.2000   -0.20459   -0.09240
114   11.3000   -0.19729   -0.09612
115   11.4000   -0.18771   -0.08502
116   11.5000   -0.17740   -0.08439
117   11.6000   -0.17120   -0.08635
118   11.7000   -0.16171   -0.09528
119   11.8000   -0.15113   -0.10852
120   11.9000   -0.14018   -0.09251
