# Interpolated tables after MSCG-FM

SL_HG
N 251 R 0.000010 25.000000

1    0.0000 87623741174.38309 467687073264.42731
2    0.1000 41992596906.67092 384163183123.83746
3    0.2000 20148953928.89122 192407882605.99487
4    0.3000 9659411730.57765 37049560089.05722
5    0.4000 4633777665.88056 35096142966.68874
6    0.5000 2221795044.58302 16831424775.56712
7    0.6000 1065700875.36189 8072022622.18985
8    0.7000 511027410.01292 3871184411.49791
9    0.8000 245101141.56866 1856544443.70366
10    0.9000 117537637.80886 890362458.96969
11    1.0000 56371678.53990 427000447.63318
12    1.1000 27033702.05693 204781075.98898
13    1.2000 12965218.47988 98209005.04125
14    1.3000 6217729.22530 47099121.07824
15    1.4000 2981952.76450 22587818.84474
16    1.5000 1430069.74714 10832676.96406
17    1.6000 685841.44087 5195140.50699
18    1.7000 328915.21106 2491488.09358
19    1.8000 157743.53982 1194869.20685
20    1.9000 75651.77950 573036.11871
21    2.0000 36282.57310 274817.08942
22    2.1000 17401.70135 131797.09370
23    2.2000 8346.84461 63207.48211
24    2.3000 4004.27136 30313.23763
25    2.4000 1921.65012 14537.82491
26    2.5000  922.84659 6972.21524
27    2.6000  443.82019 3343.91511
28    2.7000  214.07518 1603.85690
29    2.8000  103.87408  769.33422
30    2.9000   51.00613  369.14621
31    3.0000   25.63790  177.20117
32    3.1000   13.44986   85.14748
33    3.2000    7.59083   41.02486
34    3.3000    4.76363   19.82884
35    3.4000    3.38715    9.69085
36    3.5000    2.71485    4.82580
37    3.6000    2.37119    2.46879
38    3.7000    2.18978    1.37687
39    3.8000    2.08870    0.82955
40    3.9000    2.01780    0.53831
41    4.0000    1.97047    0.45884
42    4.1000    1.93149    0.44382
43    4.2000    1.87939    0.50981
44    4.3000    1.82467    0.57331
45    4.4000    1.76780    0.61192
46    4.5000    1.70500    0.63743
47    4.6000    1.63876    0.65538
48    4.7000    1.57390    0.62937
49    4.8000    1.51356    0.62529
50    4.9000    1.45064    0.62125
51    5.0000    1.38741    0.62014
52    5.1000    1.32620    0.59918
53    5.2000    1.26837    0.59296
54    5.3000    1.20860    0.59260
55    5.4000    1.14805    0.59476
56    5.5000    1.08992    0.58436
57    5.6000    1.03229    0.57155
58    5.7000    0.97465    0.57444
59    5.8000    0.91775    0.57003
60    5.9000    0.86078    0.56061
61    6.0000    0.80529    0.55088
62    6.1000    0.75111    0.53844
63    6.2000    0.69719    0.53374
64    6.3000    0.64465    0.52591
65    6.4000    0.59215    0.51101
66    6.5000    0.54195    0.49733
67    6.6000    0.49389    0.47260
68    6.7000    0.44704    0.44467
69    6.8000    0.40438    0.41968
70    6.9000    0.36431    0.38973
71    7.0000    0.32622    0.35867
72    7.1000    0.29189    0.32446
73    7.2000    0.26174    0.29082
74    7.3000    0.23403    0.26503
75    7.4000    0.20809    0.24286
76    7.5000    0.18507    0.22384
77    7.6000    0.16414    0.20080
78    7.7000    0.14449    0.18187
79    7.8000    0.12766    0.15838
80    7.9000    0.11321    0.13050
81    8.0000    0.10083    0.11530
82    8.1000    0.09069    0.10200
83    8.2000    0.08039    0.08593
84    8.3000    0.07215    0.08105
85    8.4000    0.06554    0.07313
86    8.5000    0.05754    0.06456
87    8.6000    0.05128    0.05932
88    8.7000    0.04706    0.04105
89    8.8000    0.04268    0.03237
90    8.9000    0.03986    0.03248
91    9.0000    0.03708    0.02805
92    9.1000    0.03384    0.02269
93    9.2000    0.03200    0.01853
94    9.3000    0.03054    0.01986
95    9.4000    0.02850    0.02205
96    9.5000    0.02547    0.01945
97    9.6000    0.02417    0.01776
98    9.7000    0.02325    0.01412
99    9.8000    0.02090    0.01215
100    9.9000    0.02002    0.00912
101   10.0000    0.02002    0.00010
102   10.1000    0.01976   -0.00041
103   10.2000    0.01970    0.00206
104   10.3000    0.01961    0.00135
105   10.4000    0.01939    0.00148
106   10.5000    0.01926    0.00116
107   10.6000    0.01923    0.00021
108   10.7000    0.01920    0.00002
109   10.8000    0.01919    0.00035
110   10.9000    0.01915    0.00052
111   11.0000    0.01908    0.00062
112   11.1000    0.01902    0.00053
113   11.2000    0.01899    0.00026
114   11.3000    0.01897    0.00010
115   11.4000    0.01896    0.00010
116   11.5000    0.01895    0.00015
117   11.6000    0.01893    0.00021
118   11.7000    0.01891    0.00019
119   11.8000    0.01889    0.00008
120   11.9000    0.01888    0.00010
121   12.0000    0.01887    0.00024
122   12.1000    0.01884    0.00085
123   12.2000    0.01880   -0.00083
124   12.3000    0.01873   -0.00035
125   12.4000    0.01878    0.00567
126   12.5000    0.01809    0.01033
127   12.6000    0.01648    0.01057
128   12.7000    0.01583    0.00445
129   12.8000    0.01589   -0.00122
130   12.9000    0.01589    0.00298
131   13.0000    0.01538    0.00855
132   13.1000    0.01413    0.00826
133   13.2000    0.01356    0.00467
134   13.3000    0.01356   -0.00012
135   13.4000    0.01352   -0.00076
136   13.5000    0.01351    0.00046
137   13.6000    0.01349    0.00015
138   13.7000    0.01348    0.00011
139   13.8000    0.01347    0.00032
140   13.9000    0.01348   -0.00081
141   14.0000    0.01347   -0.00051
142   14.1000    0.01352    0.00316
143   14.2000    0.01313    0.00620
144   14.3000    0.01217    0.00604
145   14.4000    0.01174    0.00351
146   14.5000    0.01174    0.00125
147   14.6000    0.01153    0.00186
148   14.7000    0.01117    0.00269
149   14.8000    0.01100    0.00130
150   14.9000    0.01100    0.00022
151   15.0000    0.01094    0.00041
152   15.1000    0.01087    0.00086
153   15.2000    0.01079    0.00076
154   15.3000    0.01076   -0.00039
155   15.4000    0.01074   -0.00035
156   15.5000    0.01078    0.00256
157   15.6000    0.01045    0.00498
158   15.7000    0.00969    0.00504
159   15.8000    0.00934    0.00292
160   15.9000    0.00936   -0.00054
161   16.0000    0.00933   -0.00066
162   16.1000    0.00934    0.00202
163   16.2000    0.00911    0.00329
164   16.3000    0.00861    0.00331
165   16.4000    0.00839    0.00214
166   16.5000    0.00839   -0.00080
167   16.6000    0.00835   -0.00079
168   16.7000    0.00840    0.00335
169   16.8000    0.00800    0.00637
170   16.9000    0.00702    0.00659
171   17.0000    0.00654    0.00375
