# Interpolated tables after MSCG-FM

SL_MG
N 251 R 0.000010 25.000000

1    0.0000 294710806270310656.00000 1573003304831601408.00000
2    0.1000 141236517927545552.00000 1292081802540408320.00000
3    0.2000 67768328281535216.00000 647138337824993280.00000
4    0.3000 32488147392827452.00000 124611270641649328.00000
5    0.4000 15585095235713028.00000 118041211803516144.00000
6    0.5000 7472712295634537.00000 56610259957979728.00000
7    0.6000 3584343228385305.00000 27149175135921308.00000
8    0.7000 1718772756332835.50000 13020214199829520.00000
9    0.8000 824365100092474.00000 6244240458898546.00000
10    0.9000 395322211350667.56250 2994615780518881.50000
11    1.0000 189598637794924.31250 1436159246582662.00000
12    1.1000 90924253674972.64062 688753927953821.75000
13    1.2000 43606779292041.66406 330312933193591.93750
14    1.3000 20912496193373.04688 158411632089116.00000
15    1.4000 10029392278118.88867 75971125134328.35938
16    1.5000 4809840147085.23730 36434267976791.49219
17    1.6000 2306727273805.49902 17473163398034.63672
18    1.7000 1106253449810.35083 8379787932857.44336
19    1.8000 530540406113.94537 4018782643992.24854
20    1.9000 254435786029.34451 1927329673383.02319
21    2.0000 122022806956.11053 924309672595.76123
22    2.1000 58519620512.13572 443280868163.29834
23    2.2000 28064915850.98548 212588847553.30646
24    2.3000 13459367972.39574 101953459645.67784
25    2.4000 6454856387.93607 48894888200.20227
26    2.5000 3095620769.95590 23449033513.92223
27    2.6000 1484600096.64799 11245698537.73135
28    2.7000 711984913.53870 5393217401.71569
29    2.8000 341454168.34110 2586481741.66289
30    2.9000 163754711.52314 1240426131.91346
31    3.0000 78533575.65658 594884148.45264
32    3.1000 37663163.90660 285294819.93362
33    3.2000 18062519.57766 136821824.07038
34    3.3000 8662430.83972 65617074.60004
35    3.4000 4154332.75983 31468667.43333
36    3.5000 1992336.67105 15091758.24205
37    3.6000 955485.68349 7237712.28468
38    3.7000 458232.17081 3471065.41939
39    3.8000 219759.14551 1664654.99284
40    3.9000 105392.12118 798335.84684
41    4.0000 50543.96829 382866.23224
42    4.1000 24239.87585 183614.90918
43    4.2000 11624.94413 88058.04090
44    4.3000 5575.11353 42230.79246
45    4.4000 2673.72214 20252.81652
46    4.5000 1282.29299 9712.83205
47    4.6000  615.02199 4657.85828
48    4.7000  294.99500 2233.65891
49    4.8000  141.56046 1071.17231
50    4.9000   67.98029  513.43041
51    5.0000   32.69247  246.18066
52    5.1000   15.81702  117.91517
53    5.2000    7.70502   56.30388
54    5.3000    3.84443   27.00270
55    5.4000    2.02038   12.68769
56    5.5000    1.12585    5.95435
57    5.6000    0.74921    2.83008
58    5.7000    0.56375    0.99372
59    5.8000    0.47846    0.37480
60    5.9000    0.49111    0.34690
61    6.0000    0.43863    0.50732
62    6.1000    0.34620    0.86018
63    6.2000    0.27781    0.82180
64    6.3000    0.20564    0.64346
65    6.4000    0.13290    0.70341
66    6.5000    0.06854    0.68956
67    6.6000   -0.00059    0.64114
68    6.7000   -0.06593    0.60123
69    6.8000   -0.11897    0.56063
70    6.9000   -0.17427    0.52565
71    7.0000   -0.22803    0.51758
72    7.1000   -0.27713    0.45990
73    7.2000   -0.31904    0.40255
74    7.3000   -0.35728    0.36047
75    7.4000   -0.39240    0.32989
76    7.5000   -0.42415    0.31828
77    7.6000   -0.45410    0.29266
78    7.7000   -0.48384    0.26753
79    7.8000   -0.50836    0.23591
80    7.9000   -0.52900    0.19972
81    8.0000   -0.54934    0.17479
82    8.1000   -0.56505    0.15851
83    8.2000   -0.57975    0.13791
84    8.3000   -0.59285    0.12087
85    8.4000   -0.60363    0.08345
86    8.5000   -0.61021    0.04200
87    8.6000   -0.61181    0.01707
88    8.7000   -0.61320    0.00504
89    8.8000   -0.61439    0.00920
90    8.9000   -0.61453    0.00274
91    9.0000   -0.61468   -0.00553
92    9.1000   -0.61373   -0.01304
93    9.2000   -0.61179   -0.02306
94    9.3000   -0.60933   -0.03027
95    9.4000   -0.60606   -0.02841
96    9.5000   -0.60306   -0.02944
97    9.6000   -0.60030   -0.03620
98    9.7000   -0.59632   -0.04626
99    9.8000   -0.59064   -0.05375
100    9.9000   -0.58556   -0.04903
101   10.0000   -0.58070   -0.04943
102   10.1000   -0.57563   -0.06718
103   10.2000   -0.56848   -0.07312
104   10.3000   -0.55963   -0.06915
105   10.4000   -0.55418   -0.06884
106   10.5000   -0.54814   -0.06732
107   10.6000   -0.53908   -0.08040
108   10.7000   -0.53107   -0.09463
109   10.8000   -0.52196   -0.09994
110   10.9000   -0.51066   -0.10825
111   11.0000   -0.49963   -0.11074
112   11.1000   -0.48928   -0.10680
113   11.2000   -0.47858   -0.10608
114   11.3000   -0.46764   -0.10335
115   11.4000   -0.45764   -0.10181
116   11.5000   -0.44809   -0.09663
117   11.6000   -0.43796   -0.09276
118   11.7000   -0.42867   -0.09643
119   11.8000   -0.41956   -0.10061
120   11.9000   -0.40815   -0.11324
121   12.0000   -0.39651   -0.12562
122   12.1000   -0.38439   -0.11559
123   12.2000   -0.37242   -0.10480
124   12.3000   -0.36336   -0.10105
125   12.4000   -0.35354   -0.09717
126   12.5000   -0.34258   -0.10236
127   12.6000   -0.33331   -0.09452
128   12.7000   -0.32423   -0.08206
129   12.8000   -0.31620   -0.08260
130   12.9000   -0.30852   -0.07772
131   13.0000   -0.30005   -0.07410
132   13.1000   -0.29341   -0.07111
133   13.2000   -0.28653   -0.06758
134   13.3000   -0.27919   -0.07400
135   13.4000   -0.27186   -0.08049
136   13.5000   -0.26364   -0.07578
137   13.6000   -0.25584   -0.07502
