# Interpolated tables after MSCG-FM

SL_SL
N 251 R 0.000010 25.000000

1    0.0000 72620471638.13307 387607917483.07623
2    0.1000 34802465084.05135 318385304825.69745
3    0.2000 16698973564.00535 159463074666.21677
4    0.3000 8005490593.69497 30705793790.27223
5    0.4000 3840364668.20308 29086848161.71889
6    0.5000 1841370865.89733 13949484342.69114
7    0.6000 883227528.21385 6689900272.18525
8    0.7000 423527358.79693 3208345524.08558
9    0.8000 203133995.29504 1538659858.14984
10    0.9000 97412398.76444 737911219.94982
11    1.0000 46719507.13349 353887810.85660
12    1.1000 22404890.28257 169717683.50256
13    1.2000 10745265.80695 81393286.98464
14    1.3000 5153107.20993 39034631.36485
15    1.4000 2471372.62743 18720247.34808
16    1.5000 1185208.85085 8977865.42728
17    1.6000 568410.08196 4305609.41577
18    1.7000 272598.06694 2064886.59853
19    1.8000 130734.99498 990279.70720
20    1.9000 62699.24631 474919.29091
21    2.0000 30070.93036 227762.39339
22    2.1000 14422.85025 109230.86387
23    2.2000 6918.35349 52385.43212
24    2.3000 3319.27034 25123.41444
25    2.4000 1593.18696 12049.19614
26    2.5000  765.35346 5778.95045
27    2.6000  368.28216 2771.90199
28    2.7000  177.82621 1329.83311
29    2.8000   86.43790  638.12629
30    2.9000   42.55946  306.51782
31    3.0000   21.48954  147.43022
32    3.1000   11.32405   71.09002
33    3.2000    6.41386   34.60216
34    3.3000    4.02144   16.96751
35    3.4000    2.81345    8.58252
36    3.5000    2.21027    4.59591
37    3.6000    1.86675    2.55740
38    3.7000    1.65437    1.73096
39    3.8000    1.52682    1.24292
40    3.9000    1.40053    0.98690
41    4.0000    1.31052    0.97469
42    4.1000    1.22559    0.89097
43    4.2000    1.12586    0.82074
44    4.3000    1.05246    0.75232
45    4.4000    0.98863    0.58011
46    4.5000    0.93020    0.56682
47    4.6000    0.87402    0.54630
48    4.7000    0.82100    0.52209
49    4.8000    0.77016    0.49005
50    4.9000    0.72258    0.46207
51    5.0000    0.67785    0.43485
52    5.1000    0.63547    0.41633
53    5.2000    0.59440    0.40323
54    5.3000    0.55465    0.39259
55    5.4000    0.51602    0.37959
56    5.5000    0.47863    0.36621
57    5.6000    0.44284    0.35257
58    5.7000    0.40832    0.33695
59    5.8000    0.37526    0.32121
60    5.9000    0.34400    0.30632
61    6.0000    0.31411    0.29425
62    6.1000    0.28520    0.28268
63    6.2000    0.25755    0.26684
64    6.3000    0.23189    0.24623
65    6.4000    0.20847    0.22406
66    6.5000    0.18709    0.20282
67    6.6000    0.16769    0.18465
68    6.7000    0.15011    0.16975
69    6.8000    0.13392    0.15515
70    6.9000    0.11912    0.13616
71    7.0000    0.10658    0.11244
72    7.1000    0.09663    0.09037
73    7.2000    0.08858    0.07426
74    7.3000    0.08155    0.06389
75    7.4000    0.07558    0.05553
76    7.5000    0.07065    0.04493
77    7.6000    0.06663    0.03222
78    7.7000    0.06406    0.01893
79    7.8000    0.06288    0.00737
80    7.9000    0.06249    0.00138
81    8.0000    0.06244   -0.00002
82    8.1000    0.06242   -0.00006
83    8.2000    0.06241    0.00024
84    8.3000    0.06240    0.00020
85    8.4000    0.06237    0.00026
86    8.5000    0.06235    0.00023
87    8.6000    0.06233    0.00017
88    8.7000    0.06231    0.00016
89    8.8000    0.06230    0.00018
90    8.9000    0.06227    0.00026
91    9.0000    0.06223    0.00052
92    9.1000    0.06209    0.00250
93    9.2000    0.06175    0.00554
94    9.3000    0.06092    0.00991
95    9.4000    0.05965    0.01601
96    9.5000    0.05781    0.02223
97    9.6000    0.05515    0.02856
98    9.7000    0.05202    0.03568
99    9.8000    0.04845    0.03711
100    9.9000    0.04458    0.03243
101   10.0000    0.04154    0.03004
102   10.1000    0.03920    0.02742
103   10.2000    0.03604    0.02594
104   10.3000    0.03336    0.02497
105   10.4000    0.03146    0.02219
106   10.5000    0.02909    0.02216
107   10.6000    0.02675    0.02222
108   10.7000    0.02460    0.01978
109   10.8000    0.02295    0.01883
110   10.9000    0.02111    0.01553
111   11.0000    0.01935    0.01263
112   11.1000    0.01859    0.01198
113   11.2000    0.01751    0.01065
114   11.3000    0.01604    0.01007
115   11.4000    0.01539    0.00602
116   11.5000    0.01525   -0.00051
117   11.6000    0.01511   -0.00016
118   11.7000    0.01506    0.00673
119   11.8000    0.01423    0.01166
