# Interpolated tables after MSCG-FM

SL_T1
N 251 R 0.000010 25.000000

1    0.0000 1890633055852513722368.00000 10091153706634050535424.00000
2    0.1000 906062566441472229376.00000 8288981994463071043584.00000
3    0.2000 434748366408434384896.00000 4151531288198273040384.00000
4    0.3000 208418436234564435968.00000 799408037962436182016.00000
5    0.4000 99981729900400279552.00000 757259700833335902208.00000
6    0.5000 47939052733760888832.00000 363166964019596361728.00000
7    0.6000 22994330872585961472.00000 174167783667968114688.00000
8    0.7000 11026296014544312320.00000 83527467730174197760.00000
9    0.8000 5288478994205608960.00000 40058142318190526464.00000
10    0.9000 2536076806789120000.00000 19211102761645535232.00000
11    1.0000 1216315942045555200.00000 9213269711484109824.00000
12    1.1000 583298596180235392.00000 4418504227983196160.00000
13    1.2000 279746845499715488.00000 2119028338915361792.00000
14    1.3000 134158150099581424.00000 1016244608908287360.00000
15    1.4000 64340703386805440.00000 487371068224495360.00000
16    1.5000 30856156550656964.00000 233733646466725824.00000
17    1.6000 14798150396610990.00000 112094092268660880.00000
18    1.7000 7096853240071934.00000 53758137570167112.00000
19    1.8000 3403530538835365.50000 25781352937731748.00000
20    1.9000 1632260159537481.50000 12364233385733030.00000
21    2.0000 782802488039049.87500 5929644871085853.00000
22    2.1000 375415921654183.93750 2843741880330919.50000
23    2.2000 180042456841829.00000 1363803070464006.50000
24    2.3000 86344733410540.20312 654053318928725.25000
25    2.4000 41409288696665.75000 313671198772221.12500
26    2.5000 19859071444053.67188 150430581256517.12500
27    2.6000 9524028161488.76758 72143569016696.39062
28    2.7000 4567535988005.53223 34598646810994.51172
29    2.8000 2190501755738.59253 16592835334704.69727
30    2.9000 1050521612628.93677 7957599785582.87695
31    3.0000 503809740579.83618 3816309453458.27441
32    3.1000 241617279902.38956 1830227485295.53735
33    3.2000 115874940757.21085 877741359494.85596
34    3.3000 55571354388.16357 420947614631.42590
35    3.4000 26650937861.86806 201878255305.11450
36    3.5000 12781268775.26219 96816868770.60738
37    3.6000 6129647102.77468 46431479529.06126
38    3.7000 2939658972.90327 22267630823.44247
39    3.8000 1409803062.35636 10679120879.24258
