# Interpolated tables after MSCG-FM

T1_T1
N 242 R 0.000010 24.000000

1    0.0000 5803372.55193 22471784.58913
2    0.1000 3940183.07152 15257508.24863
3    0.2000 2675169.63520 10358882.12012
4    0.3000 1816265.24602 7033025.47515
5    0.4000 1233137.99647 4774979.62051
6    0.5000 837226.20602 3241909.60943
7    0.6000 568428.97716 2201052.24513
8    0.7000 385931.90167 1494376.06847
9    0.8000 262028.09142 1014587.73636
10    0.9000 177905.05787 688841.87101
11    1.0000 120790.77179 467681.07429
12    1.1000 82013.66947 317526.91206
13    1.2000 55686.36836 215581.75425
14    1.3000 37811.68754 146367.45136
15    1.4000 25675.80221 99375.32957
16    1.5000 17436.19433 67470.65641
17    1.6000 11841.91245 45809.40324
18    1.7000 8043.63891 31102.79078
19    1.8000 5464.74120 21117.92739
20    1.9000 3713.72280 14338.83956
21    2.0000 2524.78131 9736.27443
22    2.1000 1717.45491 6611.41242
23    2.2000 1169.22111 4489.84079
24    2.3000  796.89381 3049.42634
25    2.4000  543.99727 2071.46213
26    2.5000  372.18570 1407.51272
27    2.6000  255.42521  956.70977
28    2.7000  176.04310  650.64366
29    2.8000  122.03558  442.87774
30    2.9000   85.25755  301.76073
31    3.0000   60.17868  205.99768
32    3.1000   43.03781  140.98677
33    3.2000   31.29261   96.76976
34    3.3000   23.20754   66.87236
35    3.4000   17.60358   46.48312
36    3.5000   13.69537   32.61119
37    3.6000   10.92534   23.37533
38    3.7000    8.93352   16.84129
39    3.8000    7.48028   12.57894
40    3.9000    6.36735    9.78128
41    4.0000    5.51340    7.46426
42    4.1000    4.82456    6.45055
43    4.2000    4.22788    5.43816
44    4.3000    3.73390    4.47111
45    4.4000    3.33114    3.59341
46    4.5000    3.01191    2.81102
47    4.6000    2.76482    2.15329
48    4.7000    2.57627    1.64415
49    4.8000    2.43096    1.28421
50    4.9000    2.31592    1.02947
51    5.0000    2.22309    0.83595
52    5.1000    2.14707    0.69069
53    5.2000    2.08407    0.57336
54    5.3000    2.03143    0.48510
55    5.4000    1.98581    0.43445
56    5.5000    1.94276    0.43702
57    5.6000    1.89609    0.50842
58    5.7000    1.83918    0.63399
59    5.8000    1.76980    0.74537
60    5.9000    1.69253    0.78586
61    6.0000    1.61517    0.75243
62    6.1000    1.54266    0.70078
63    6.2000    1.47367    0.68666
64    6.3000    1.40401    0.71208
65    6.4000    1.33043    0.76119
66    6.5000    1.25190    0.80788
67    6.6000    1.16919    0.84387
68    6.7000    1.08391    0.85649
69    6.8000    0.99910    0.83307
70    6.9000    0.91841    0.77752
71    7.0000    0.84353    0.72420
72    7.1000    0.77225    0.70928
73    7.2000    0.70016    0.73844
74    7.3000    0.62391    0.78735
75    7.4000    0.54288    0.83173
76    7.5000    0.45789    0.86525
77    7.6000    0.37062    0.87600
78    7.7000    0.28352    0.86209
79    7.8000    0.19891    0.82721
80    7.9000    0.11843    0.78179
81    8.0000    0.04254    0.73627
82    8.1000   -0.02882    0.69042
83    8.2000   -0.09538    0.63951
84    8.3000   -0.15635    0.57768
85    8.4000   -0.21049    0.50357
86    8.5000   -0.25704    0.42885
87    8.6000   -0.29665    0.36524
